mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score
EAS;0.500;5.000;0.800;100;1.000;1018448.000;1017815;1018498;314.942;23.000;7;0.458;0.919;0.596
EAS;0.750;5.000;0.500;50;1.000;1018536.000;1017920;1018852;324.391;30.000;7;0.465;0.882;0.590
EAS;1.000;2.000;0.500;100;1.000;1020945.000;1019148;1021560;807.135;121.000;7;0.670;0.392;0.587
EAS;0.750;5.000;0.500;20;0.200;1019028.000;1017568;1019610;713.264;51.000;7;0.507;0.769;0.586
EAS;0.750;5.000;0.300;20;1.000;1018168.000;1017349;1019200;647.573;21.000;7;0.434;0.930;0.583
EAS;0.750;5.000;0.500;100;1.000;1018305.000;1018122;1018412;103.767;28.000;7;0.446;0.892;0.580
AC;1.000;2.000;0.800;100;1.000;1021252.000;1020401;1021815;528.510;138.000;7;0.696;0.301;0.578
EAS;1.000;2.000;0.500;100;0.500;1021460.000;1020169;1021712;580.075;147.000;7;0.714;0.253;0.576
AC;0.750;5.000;0.800;20;1.000;1019785.000;1019026;1020427;465.643;86.000;7;0.572;0.581;0.574
EAS;1.000;2.000;0.800;50;1.000;1019263.000;1018222;1021684;1191.778;68.000;7;0.527;0.677;0.572
EAS;0.750;5.000;0.300;50;0.200;1018315.000;1018134;1018842;273.252;33.000;7;0.447;0.866;0.572
EAS;0.750;5.000;0.300;100;0.500;1018367.000;1017529;1019651;697.279;35.000;7;0.451;0.855;0.572
EAS;1.000;2.000;0.300;50;0.500;1020018.000;1018362;1020311;835.220;96.000;7;0.591;0.527;0.572
AC;0.750;5.000;0.500;50;1.000;1018998.000;1018760;1019618;319.153;59.000;7;0.505;0.726;0.571
EAS;0.250;5.000;0.300;100;0.500;1017634.000;1017052;1018910;568.942;9.000;7;0.389;0.995;0.570
EAS;0.750;5.000;0.300;100;1.000;1018441.000;1017976;1018915;327.415;40.000;7;0.457;0.828;0.568
EAS;0.500;5.000;0.500;50;1.000;1017706.000;1017415;1018442;337.158;13.000;7;0.395;0.973;0.568
AC;0.750;5.000;0.800;50;1.000;1019700.000;1019563;1020661;384.007;87.000;7;0.564;0.575;0.568
