versuchsreihe;alpha;beta;evaporation;group_size;median_value;median_iteration;std_value;min_value;max_value
4;1.000;1.500;0.500;90;1004261.000;49.500;136.694;1004119;1004560
4;1.000;1.500;0.500;30;1004198.500;39.500;143.524;1003945;1004428
4;2.000;0.500;0.100;60;1004018.000;11.000;344.164;1003782;1004888
4;1.000;1.500;0.300;30;1004220.500;47.000;92.977;1004090;1004393
4;2.000;0.500;0.500;60;1003946.500;5.500;328.992;1003501;1004381
4;2.000;1.000;0.100;60;1003933.500;7.000;143.819;1003767;1004190
4;1.000;1.500;0.100;60;1004139.000;42.000;164.505;1004038;1004528
4;2.000;0.500;0.300;60;1003876.000;8.000;241.289;1003605;1004378
4;2.000;0.500;0.500;30;1003885.500;12.000;547.007;1002953;1004690
4;2.000;0.500;0.300;90;1003837.000;7.000;257.006;1003545;1004316
4;1.000;1.500;0.100;30;1004200.000;69.000;112.512;1003994;1004315
4;2.000;0.500;0.500;90;1003762.000;5.000;309.050;1003333;1004322
5;1.500;1.000;0.500;45;1005128.500;22.500;442.782;1004644;1005992
5;1.500;1.000;0.700;105;1005013.500;18.500;408.292;1004620;1006029
5;1.500;1.000;0.500;105;1005038.000;27.000;358.660;1004566;1005625
5;1.500;1.000;0.700;75;1004867.000;19.500;212.740;1004761;1005393
5;2.000;1.500;0.700;45;1004925.500;38.000;530.919;1004132;1006064
5;1.500;1.000;0.300;105;1004810.500;24.500;228.449;1004520;1005254
5;2.000;1.500;0.700;105;1004796.000;22.500;371.864;1004226;1005648
5;2.000;1.500;0.300;105;1004759.500;16.500;394.938;1004348;1005876
5;1.500;1.000;0.300;45;1004833.000;29.500;309.838;1004510;1005469
5;1.000;0.500;0.700;75;1005039.500;64.500;220.154;1004628;1005252
5;1.500;1.000;0.500;75;1004934.000;48.000;218.840;1004626;1005269
5;1.000;0.500;0.500;45;1004915.000;46.500;314.286;1004639;1005499
5;2.000;1.500;0.700;75;1004829.500;32.500;197.534;1004556;1005156
5;1.000;0.500;0.700;105;1004906.500;45.500;245.714;1004541;1005430
5;1.000;0.500;0.500;105;1005070.500;72.500;193.388;1004687;1005192
5;1.500;1.000;0.300;75;1004907.500;49.000;219.461;1004607;1005329
5;2.000;1.500;0.500;105;1004754.500;24.000;180.384;1004501;1005047
5;1.500;1.000;0.700;45;1004889.000;50.000;377.027;1004660;1005951
5;1.000;1.000;0.700;105;1004698.000;22.000;193.937;1004467;1005142
5;1.000;0.500;0.500;75;1004816.500;42.500;237.032;1004486;1005176
5;1.000;0.500;0.300;75;1005010.000;74.500;182.842;1004625;1005199
5;1.000;1.000;0.300;105;1004922.000;64.000;213.739;1004614;1005295
5;1.000;1.000;0.700;75;1004706.500;31.500;246.223;1004376;1005228
5;2.000;1.500;0.300;45;1004729.000;41.000;299.443;1004171;1005166
5;1.000;0.500;0.300;45;1004911.500;71.500;462.309;1004281;1005936
5;1.000;0.500;0.300;105;1004788.500;54.000;382.954;1004508;1005849
5;2.000;1.500;0.500;45;1004695.500;40.500;322.990;1004232;1005061
5;2.000;1.500;0.300;75;1004794.000;57.500;382.695;1004428;1005780
5;1.500;0.500;0.500;105;1004466.500;7.500;254.551;1003983;1004817
5;1.500;1.500;0.500;105;1004634.500;37.000;167.462;1004393;1004980
5;1.500;1.500;0.700;105;1004762.500;61.500;155.603;1004501;1005101
