mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score
EAS;2.000;4.000;0.500;20;0.500;100.000;95;107;4.764;15.000;5;0.250;0.721;0.391
EAS;2.000;2.500;0.100;10;1.000;111.000;108;115;2.588;46.000;5;0.556;0.000;0.389
EAS;1.500;2.500;0.100;10;0.500;107.000;102;112;4.037;35.000;5;0.444;0.256;0.388
EAS;2.000;4.000;0.300;10;0.200;100.000;98;101;1.225;16.000;5;0.250;0.698;0.384
EAS;2.000;4.000;0.300;20;1.000;100.000;95;105;3.536;16.000;5;0.250;0.698;0.384
EAS;2.000;4.000;0.100;30;1.000;100.000;95;100;2.236;16.000;5;0.250;0.698;0.384
EAS;1.500;4.000;0.100;30;0.500;100.000;95;105;3.701;16.000;5;0.250;0.698;0.384
EAS;1.500;4.000;0.500;20;0.200;98.000;95;100;2.302;11.000;5;0.194;0.814;0.380
EAS;2.000;2.500;0.100;10;0.200;110.000;106;115;3.847;45.000;5;0.528;0.023;0.376
AC;1.500;2.500;0.300;10;0.800;107.000;101;108;2.950;37.000;5;0.444;0.209;0.374
AC;1.500;4.000;0.500;20;0.800;98.000;95;100;2.168;12.000;5;0.194;0.791;0.373
EAS;2.000;4.000;0.500;30;0.200;100.000;100;105;2.236;18.000;5;0.250;0.651;0.370
EAS;2.000;4.000;0.100;30;0.200;100.000;99;103;1.517;18.000;5;0.250;0.651;0.370
AC;2.000;4.000;0.300;20;0.800;100.000;95;105;3.536;18.000;5;0.250;0.651;0.370
EAS;1.500;2.500;0.300;20;0.200;110.000;107;112;2.074;46.000;5;0.528;0.000;0.369
EAS;1.000;2.500;0.500;30;0.500;103.000;98;105;2.915;27.000;5;0.333;0.442;0.366
EAS;1.000;2.500;0.300;30;1.000;104.000;101;108;3.050;30.000;5;0.361;0.372;0.364
EAS;1.000;2.500;0.100;20;1.000;100.000;98;105;2.881;19.000;5;0.250;0.628;0.363
EAS;1.000;2.500;0.300;30;0.500;100.000;99;104;2.074;19.000;5;0.250;0.628;0.363
EAS;1.000;2.500;0.300;20;1.000;100.000;98;110;4.817;19.000;5;0.250;0.628;0.363
EAS;2.000;4.000;0.100;20;0.200;100.000;95;104;3.209;20.000;5;0.250;0.605;0.356
EAS;1.000;2.500;0.100;10;1.000;103.000;95;107;4.980;29.000;5;0.333;0.395;0.352
AC;1.000;4.000;0.500;30;0.800;95.000;91;95;1.732;7.000;5;0.111;0.907;0.350
EAS;1.000;2.500;0.100;20;0.500;101.000;95;105;4.099;24.000;5;0.278;0.512;0.348
AC;1.000;2.500;0.300;10;0.800;104.000;96;107;4.743;33.000;5;0.361;0.302;0.343
AC;1.500;4.000;0.300;30;0.800;95.000;95;95;0.000;8.000;5;0.111;0.884;0.343
EAS;2.000;4.000;0.500;30;0.500;100.000;95;105;4.266;23.000;5;0.250;0.535;0.335
EAS;1.500;4.000;0.300;30;0.200;98.000;95;104;3.782;18.000;5;0.194;0.651;0.331
EAS;1.000;4.000;0.500;10;1.000;94.000;91;98;2.950;7.000;5;0.083;0.907;0.330
EAS;1.000;2.500;0.300;20;0.500;104.000;99;107;3.391;35.000;5;0.361;0.256;0.330
EAS;1.500;4.000;0.500;10;0.200;95.000;94;99;1.924;10.000;5;0.111;0.837;0.329
EAS;1.000;2.500;0.500;20;0.500;101.000;99;105;2.490;27.000;5;0.278;0.442;0.327
EAS;2.000;4.000;0.500;10;0.500;103.000;99;104;2.168;33.000;5;0.333;0.302;0.324
EAS;1.500;4.000;0.500;30;0.500;99.000;94;105;4.393;23.000;5;0.222;0.535;0.316
EAS;1.500;4.000;0.500;20;1.000;95.000;93;100;2.608;12.000;5;0.111;0.791;0.315
EAS;2.000;4.000;0.100;10;0.500;99.000;92;100;4.037;24.000;5;0.222;0.512;0.309
AC;1.500;4.000;0.300;20;0.800;95.000;93;95;0.894;13.000;5;0.111;0.767;0.308
AC;1.500;4.000;0.500;30;0.800;95.000;95;98;1.643;13.000;5;0.111;0.767;0.308
EAS;1.500;4.000;0.300;30;0.500;95.000;95;105;4.472;13.000;5;0.111;0.767;0.308
EAS;1.500;4.000;0.300;20;0.200;96.000;95;100;2.588;16.000;5;0.139;0.698;0.307
AC;1.000;2.500;0.100;20;0.800;103.000;99;104;2.168;36.000;5;0.333;0.233;0.303
AC;1.000;4.000;0.300;30;0.800;91.000;91;94;1.342;3.000;5;0.000;1.000;0.300
EAS;2.000;4.000;0.100;20;0.500;99.000;98;103;2.074;26.000;5;0.222;0.465;0.295
EAS;2.000;4.000;0.500;10;0.200;100.000;99;105;2.510;29.000;5;0.250;0.395;0.294
AC;1.000;4.000;0.100;30;0.800;91.000;91;94;1.342;4.000;5;0.000;0.977;0.293
EAS;1.500;4.000;0.300;30;1.000;97.000;94;101;3.050;21.000;5;0.167;0.581;0.291
AC;1.000;4.000;0.300;20;0.800;91.000;91;97;2.683;5.000;5;0.000;0.953;0.286
EAS;1.000;2.500;0.300;20;0.200;101.000;100;105;2.168;33.000;5;0.278;0.302;0.285
AC;1.500;4.000;0.500;10;0.800;98.000;95;100;1.789;25.000;5;0.194;0.488;0.283
EAS;2.000;4.000;0.300;20;0.200;103.000;100;110;4.099;39.000;5;0.333;0.163;0.282
AC;1.500;4.000;0.100;20;0.800;95.000;91;105;5.292;17.000;5;0.111;0.674;0.280
EAS;1.500;4.000;0.100;30;1.000;95.000;95;95;0.000;17.000;5;0.111;0.674;0.280
EAS;2.000;4.000;0.100;10;1.000;100.000;99;103;1.517;31.000;5;0.250;0.349;0.280
EAS;1.000;4.000;0.100;20;1.000;91.000;91;91;0.000;6.000;5;0.000;0.930;0.279
EAS;1.000;4.000;0.300;30;0.500;91.000;91;95;2.191;6.000;5;0.000;0.930;0.279
EAS;1.000;4.000;0.100;30;0.500;91.000;91;95;1.789;6.000;5;0.000;0.930;0.279
EAS;1.500;4.000;0.300;10;1.000;95.000;94;104;4.278;18.000;5;0.111;0.651;0.273
EAS;1.000;2.500;0.500;10;0.500;100.000;98;104;2.302;32.000;5;0.250;0.326;0.273
EAS;1.000;4.000;0.100;20;0.500;91.000;91;95;2.191;7.000;5;0.000;0.907;0.272
EAS;1.000;4.000;0.500;20;1.000;91.000;91;100;3.912;7.000;5;0.000;0.907;0.272
