mode;alpha;beta;evaporation;group_size;elite_weight;median_value;min_value;max_value;std_value;median_iteration;num_runs;norm_quality;norm_speed;score;pct_optimal
EAS;1.000;3.500;0.300;30;0.500;1003660.000;1003483;1003878;127.922;25.000;10;0.353;0.686;0.453;99.211
AC;0.500;3.500;0.100;30;1.000;1003688.000;1003551;1003857;73.666;29.500;10;0.383;0.612;0.451;99.214
EAS;0.500;5.000;0.300;50;1.000;1003688.000;1003391;1003688;93.920;29.500;10;0.383;0.612;0.451;99.214
EAS;0.500;3.500;0.500;10;1.000;1003650.500;1003341;1003688;126.770;24.000;10;0.344;0.702;0.451;99.210
EAS;0.500;3.500;0.300;50;0.500;1003674.000;1003633;1003835;56.185;27.500;10;0.368;0.645;0.451;99.213
EAS;1.500;3.500;0.300;30;1.000;1003582.000;1003490;1003866;149.898;14.000;10;0.272;0.868;0.451;99.204
EAS;1.000;3.500;0.300;30;0.200;1003608.000;1003561;1003877;120.015;18.000;10;0.299;0.802;0.450;99.206
EAS;1.000;3.500;0.500;50;0.200;1003692.000;1003590;1003878;94.791;30.500;10;0.387;0.595;0.449;99.215
AC;1.000;5.000;0.300;10;1.000;1003660.000;1003483;1003688;68.455;26.000;10;0.353;0.669;0.448;99.211
AC;1.000;3.500;0.100;50;1.000;1003688.000;1003561;1003878;90.797;30.500;10;0.383;0.595;0.446;99.214
